ref,designation,conditionnement,prix_achat_ht,prix_vente_ht,tva_20_pct,prix_vente_ttc
013271,PALL-X 96 ORIGINAL satiné 5L,5 L,100.25,200.5,40.1,240.6
181845,PALL-X 96 POWER mat 5 L,5 L,110.25,220.5,44.1,264.6
181844,PALL-X 96 POWER SATINÉ 5 L,5 L,110.25,220.5,44.1,264.6
013953,PALL-X 96 satiné 1L,1 L,21.05,42.1,8.42,50.52
169408,PALL-X 96 ZERO mat 5L,5 L,112.9,225.8,45.16,270.96
171590,PALL-X 96 ZERO satiné 5L,5 L,112.9,225.8,45.16,270.96
010100,PALL-X 98 2K brillant 4.95L,4.95 L,134.89,269.78,53.96,323.74
010094,PALL-X 98 2K mat 4.95L,4.95 L,134.89,269.78,53.96,323.74
010093,PALL-X 98 2K satiné 4.95L,4.95 L,134.89,269.78,53.96,323.74
172175,PALL-X BASE 5 L,5 L,50.5,101.0,20.2,121.2
188731,PALL-X DUET 2K mat 10 l,10 L,165.0,330.0,66.0,396.0
186521,PALL-X DUET 2K satiné 10 l,10 L,165.0,330.0,66.0,396.0
087764,PALL-X EXTREME HAUT SATIN K1/5L,5 L,76.15,152.3,30.46,182.76
069378,PALL-X EXTREME K.B. Durcisseur 0.5 L,1 UN,14.0,28.0,5.6,33.6
069379,PALL-X EXTREME mat K.A./5L,5 L,76.15,152.3,30.46,182.76
087368,PALL-X EXTREME satiné K1/1L,1 L,16.3,32.6,6.52,39.12
069377,PALL-X EXTREME satiné K1/5L,5 L,76.15,152.3,30.46,182.76
162032,PALL-X FILLER liant pour joint large 5L,5 L,61.15,122.3,24.46,146.76
086268,PALL-X FUTUR mat 5L,5 L,69.15,138.3,27.66,165.96
086375,PALL-X FUTUR satiné 5L,5 L,69.15,138.3,27.66,165.96
012570,PALL-X GEL/1L spatulable après egrennage,1 L,23.38,46.76,9.35,56.11
082319,PALL-X GRIP 75gr,1 UN,9.36,18.72,3.74,22.46
013085,PALL-X KITT 1 L,1 L,12.1,24.2,4.84,29.04
012732,PALL-X KITT 5L,5 L,50.5,101.0,20.2,121.2
010108,PALL-X PURE 4.95L,4.95 L,114.25,228.5,45.7,274.2
184797,PALL-X RETARDER 250 ml,1 UN,9.45,18.9,3.78,22.68
010103,PALL-X SPORT 2K satiné 4.95L,4.95 L,116.08,232.16,46.43,278.59
089453,PALL-X TREND 2K mat 4.95 L,4.95 L,92.57,185.14,37.03,222.17
083529,PALL-X TREND 2K satiné 4.95L,4.95 L,92.57,185.14,37.03,222.17
073699,PALL-X ZERO 2K mat intense 10L,10 L,289.5,579.0,115.8,694.8
073172,PALL-X ZERO BASE fond dur 5L,5 L,84.65,169.3,33.86,203.16
073173,PALL-X ZERO FILLER liant 5L,5 L,70.25,140.5,28.1,168.6
187826,PALL-X333 COL TESTER NR.51 CARAMEL 0.1L,1 UN,12.68,25.36,5.07,30.43
083531,PALL-X333 COL TESTER N°02 ALMOST BLACK 0.1L,1 UN,12.68,25.36,5.07,30.43
083534,PALL-X333 COL TESTER N°04 NATURAL WHITE 0.1L,1 UN,12.68,25.36,5.07,30.43
083537,PALL-X333 COL TESTER N°07 ENDLESS BROWN 0.1L,1 UN,12.68,25.36,5.07,30.43
083541,PALL-X333 COL TESTER N°11 BLEACHED GREY 0.1L,1 UN,12.68,25.36,5.07,30.43
083543,PALL-X333 COL TESTER N°13 CONCRETE GREY 0.1L,1 UN,12.68,25.36,5.07,30.43
083547,PALL-X333 COL TESTER N°18 SOLID GREY 0.1L,1 UN,12.68,25.36,5.07,30.43
083548,PALL-X333 COL TESTER N°19 AUTH BROWN 0.1L,1 UN,12.68,25.36,5.07,30.43
